identif,genero,idade,concelho,lat,lon,dieta_saudavel,carne_branca,carne_vermelha,leite,ovos,sobras,cereais,leguminosas,vegetais,frutas,snacks,take_away,jantar_fora,compra_frutas,onde_compra,como_desloca,considera_que_tem_diversidade,perto_longe,alteracoes_climaticas,mudar_habitos,o_que_bloqueia,autosuficiencia,politicas,fao1,fao2,rendimento,instrucao,situacao_prof,saude,score_proteina,score_fruta,score_processados,score_sustentabilidade,dieta_percecionada,score_geral,FID,CreationDate,Creator,EditDate,Editor,GlobalID,x,y
651050,Homem,50,gondomar,41.109580563,-8.482985214,Nunca,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,supermercado,a pé,Sim,,Não,Não mudou,4,Sim,Sim,Não,Não,Não sabe,6º ano (ensino preparatório),Empregado(a),Não,2,3,2,1,1,2,12,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,fab3f853-c707-49d1-8df1-5fc2c02e4e74,-8.482985214,41.109580563
651051,Homem,41,vila do conde,41.631480163,-8.10396705,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,Algumas vezes por semana,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,Uma vez por semana,mercado,carro,Não,,Não,Não mudou,0,Sim,Sim,Ns/Nr,Ns/Nr,O rendimento atual dá para viver,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Não,2,3,4,2,4,2.75,13,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,127dd8d9-c79f-4438-bc53-742304b4f1be,-8.10396705,41.631480163
651053,Homem,36,barreiro,38.628427083,-9.044965081,Todos os dias,Uma vez por dia,Uma vez por dia,Uma vez por dia,Algumas vezes por semana,,Uma vez por dia,,Algumas vezes por semana,Algumas vezes por semana,Uma vez por semana,Uma vez por semana,Algumas vezes por semana,Uma vez por semana,grandes superficies,carro,Sim,,Ns/Nr,Não mudou,1,Sim,Sim,Não,Não,O rendimento atual dá para viver,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Sim,1,3,3,1,5,2,14,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,976756a8-de2e-4bfc-b149-fc79ddbe767a,-9.044965081,38.628427083
651054,Mulher,53,vila nova de gaia,41.074443664,-8.58053563,Algumas vezes por semana,Algumas vezes por semana,Nunca,Algumas vezes por semana,Ocasionalmente no mês,,Algumas vezes por semana,,Uma vez por dia,"Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,mercado,carro,Sim,,Ns/Nr,Sim,4,Não,Sim,Não,Não,O rendimento atual permite viver confortavelmente,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,5,4,4,4,4,4.25,15,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,953a6654-b9d1-43cf-96f1-416dec3e48f2,-8.58053563,41.074443664
651055,Homem,37,faro,37.055635158,-7.918243085,Todos os dias,Uma vez por semana,Algumas vezes por semana,Uma vez por semana,Uma vez por dia,,Uma vez por dia,,Uma vez por dia,Uma vez por dia,Algumas vezes por semana,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,supermercado,carro,Sim,,Não,Não mudou,4,Não,Sim,Não,Não,O rendimento atual dá para viver,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Não,2,4,2,1,5,2.25,16,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,f2f09626-67e9-487b-8aea-1900de89b710,-7.918243085,37.055635158
651056,Mulher,52,gondomar,41.109580563,-8.482985214,Algumas vezes por semana,Uma vez por dia,Uma vez por semana,Uma vez por semana,"Todos os dias, várias vezes",,"Todos os dias, várias vezes",,"Todos os dias, várias vezes","Todos os dias, várias vezes",Uma vez por semana,Uma vez por semana,Algumas vezes por semana,Uma vez por semana,supermercado,carro,Não,,Não,Sim,1,Não sei,Não sei,Não,Não,É difícil viver com o rendimento atual,12º ano (ensino secundário),Empregado(a),Não,1,5,3,1,4,2.5,17,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,f1695d2c-7cb1-44c9-911a-24d272051142,-8.482985214,41.109580563
651057,Homem,55,sines,37.924886354,-8.777777238,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,"Todos os dias, várias vezes",Algumas vezes por semana,,"Todos os dias, várias vezes",,Uma vez por semana,Uma vez por semana,Uma vez por semana,Uma vez por semana,Ocasionalmente no mês,Uma vez por semana,directamente ao produtor,carro,Sim,,Não,Não mudou,1,Sim,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Sim,2,2,3,3,4,2.5,18,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,3f2c8819-70bf-48cb-aac6-5f170b391f0d,-8.777777238,37.924886354
651058,Mulher,82,oeiras,38.716994221,-9.276314431,Todos os dias,Algumas vezes por semana,Uma vez por semana,Ocasionalmente no mês,Algumas vezes por semana,,Uma vez por dia,,Uma vez por dia,"Todos os dias, várias vezes",Nunca,Nunca,Ocasionalmente no mês,Algumas vezes por semana,mercearia,a pé,Sim,,Ns/Nr,"Não mudou, mas consideraria mudar",1,Não sei,Sim,Não,Não,O rendimento atual permite viver confortavelmente,"Curso superior (Licenciatura, Bacharelato)",Reformado(a),Sim,5,4,5,5,5,4.75,19,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,15721b8e-e284-469a-99a6-2a6eede0547f,-9.276314431,38.716994221
651059,Homem,76,aveiro,40.642197468,-8.628289547,Algumas vezes por semana,Algumas vezes por semana,Uma vez por semana,Ocasionalmente no mês,Algumas vezes por semana,,Uma vez por dia,,Uma vez por dia,"Todos os dias, várias vezes",Uma vez por semana,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,mercearia,carro,Sim,,Ns/Nr,Sim,1,Não,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Reformado(a),Sim,5,4,3,4,4,4,20,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,63a8274e-aaca-4a51-bfbc-b6c6cfb7e489,-8.628289547,40.642197468
651060,Homem,70,faro,37.055635158,-7.918243085,Todos os dias,Algumas vezes por semana,Ocasionalmente no mês,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Nunca,Ocasionalmente no mês,Algumas vezes por semana,mercearia,carro,Sim,,Não,Sim,4,Não,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Reformado(a),Não,5,3,2,5,5,3.75,21,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,7775945a-0d7c-48e1-b380-6f1b14e1b722,-7.918243085,37.055635158
651061,Mulher,44,viseu,40.68803513,-7.905588342,Algumas vezes por semana,Ocasionalmente no mês,Uma vez por semana,"Todos os dias, várias vezes",Algumas vezes por semana,,"Todos os dias, várias vezes",,"Todos os dias, várias vezes",Uma vez por dia,Uma vez por semana,Uma vez por semana,Ocasionalmente no mês,Algumas vezes por semana,grandes superficies,a pé,Não,,Ns/Nr,Sim,1,Não sei,Sim,Não,Não,Recusa,Pós Graduação / Mestrado / Doutoramento,Desempregado(a),Não,4,4,3,2,4,3.25,22,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,785337e4-1e13-46da-a98f-67acdf45d52e,-7.905588342,40.68803513
651063,Mulher,60,vila nova de gaia,41.074443664,-8.58053563,Ocasionalmente no mês,Uma vez por dia,Algumas vezes por semana,Uma vez por semana,Algumas vezes por semana,,Uma vez por dia,,Nunca,Uma vez por dia,Uma vez por semana,Nunca,Nunca,Uma vez por semana,supermercado,carro,Não,,Ns/Nr,Não mudou,1,Não sei,Não sei,Sim,Sim,É difícil viver com o rendimento atual,9º ano (antigo 5º ano),Empregado(a),Não,1,1,3,1,2,1.5,23,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,b17fa7aa-88ce-4b82-b626-d3014cb579e4,-8.58053563,41.074443664
651065,Homem,68,odemira,37.607271261,-8.576846695,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,"Todos os dias, várias vezes",Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,Algumas vezes por semana,Uma vez por semana,Nunca,Ocasionalmente no mês,Nunca,outro,outro,Sim,,Sim,Não mudou,1,Não,Sim,Sim,Não,É muito difícil viver com o rendimento atual,6º ano (ensino preparatório),Reformado(a),Não,1,3,3,3,5,2.5,24,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,3d87fa69-48aa-4c9e-ba4b-624494db2468,-8.576846695,37.607271261
651068,Homem,50,aveiro,40.642197468,-8.628289547,Todos os dias,Uma vez por dia,Uma vez por dia,Nunca,"Todos os dias, várias vezes",,Nunca,,"Todos os dias, várias vezes",Nunca,Nunca,Nunca,Nunca,Uma vez por semana,mercearia,carro,Não,,Não,Não mudou,5,Não,Não,Sim,Não,O rendimento atual dá para viver,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,1,1,5,4,5,2.75,25,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,98975b20-4ac8-4f52-8a68-8a99e244fe0e,-8.628289547,40.642197468
651069,Mulher,49,lisboa,38.7376745,-9.15677179,Todos os dias,"Todos os dias, várias vezes",Nunca,"Todos os dias, várias vezes","Todos os dias, várias vezes",,"Todos os dias, várias vezes",,"Todos os dias, várias vezes","Todos os dias, várias vezes",Nunca,Ocasionalmente no mês,Nunca,Todos os dias,mercado,a pé,Sim,,Não,"Não mudou, mas consideraria mudar",3,Não,Sim,Não,Não,O rendimento atual dá para viver,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,1,5,5,5,5,4,26,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,11196786-f126-411c-b118-a1a087cbb401,-9.15677179,38.7376745
651071,Homem,34,cadaval,39.234906179,-9.067546625,Todos os dias,Algumas vezes por semana,Ocasionalmente no mês,"Todos os dias, várias vezes","Todos os dias, várias vezes",,"Todos os dias, várias vezes",,"Todos os dias, várias vezes","Todos os dias, várias vezes",Algumas vezes por semana,Ocasionalmente no mês,Algumas vezes por semana,Algumas vezes por semana,grandes superficies,carro,Não,,Não,"Não mudou, mas consideraria mudar",4,Não,Sim,Não,Não,O rendimento atual permite viver confortavelmente,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,5,5,2,1,5,3.25,27,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,1e99292d-41e2-47a6-96f0-3ae4f2200f70,-9.067546625,39.234906179
651072,Mulher,58,ilhavo,40.60617125,-8.699872289,Todos os dias,Algumas vezes por semana,Ocasionalmente no mês,Uma vez por semana,Algumas vezes por semana,,Uma vez por dia,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Todos os dias,Uma vez por semana,mercado,carro,Não,,Não,Sim,3,Sim,Sim,Sim,Não,O rendimento atual dá para viver,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,5,5,4,2,5,4,28,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,0a6d8800-4f27-4d57-9271-1a66f51c6ec9,-8.699872289,40.60617125
651073,Mulher,82,vila franca de xira,38.922105438,-8.984502877,Algumas vezes por semana,Uma vez por dia,Uma vez por semana,"Todos os dias, várias vezes",Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,"Todos os dias, várias vezes",Ocasionalmente no mês,Nunca,Todos os dias,Algumas vezes por semana,mercearia,a pé,Sim,,Sim,Sim,2,Sim,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Reformado(a),Sim,2,1,4,4,4,2.75,29,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,d8e37084-4b68-4afa-8ebd-ba1306c15bb2,-8.984502877,38.922105438
651075,Homem,51,seixal,38.604613646,-9.108792697,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,Algumas vezes por semana,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,Uma vez por semana,supermercado,carro,Não,,Ns/Nr,Não mudou,2,Não,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Desempregado(a),Não,2,3,4,1,4,2.5,30,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,ed15e44a-bd18-4bdf-be95-e88721f1eb41,-9.108792697,38.604613646
651076,Homem,43,viseu,40.68803513,-7.905588342,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Ocasionalmente no mês,Algumas vezes por semana,directamente ao produtor,a pé,Sim,,Não,Não mudou,3,Sim,Não,Sim,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,2,3,2,4,5,2.75,31,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,ce09bba4-2575-460e-9536-ba34501545fb,-7.905588342,40.68803513
651077,Homem,43,portimao,37.191560411,-8.583047033,Uma vez por semana,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,Uma vez por semana,,"Todos os dias, várias vezes",,Uma vez por semana,Uma vez por semana,Uma vez por semana,Nunca,Nunca,Uma vez por semana,supermercado,a pé,Sim,,Ns/Nr,Não mudou,1,Sim,Sim,Sim,Não,É muito difícil viver com o rendimento atual,Instrução primária completa,Desempregado(a),Sim,3,2,3,2,3,2.5,32,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,cb29a396-c28b-4694-a7a4-68a123873114,-8.583047033,37.191560411
651080,Homem,50,albufeira,37.133731751,-8.232646652,Todos os dias,"Todos os dias, várias vezes",Ocasionalmente no mês,"Todos os dias, várias vezes",Algumas vezes por semana,,"Todos os dias, várias vezes",,"Todos os dias, várias vezes",Algumas vezes por semana,Nunca,Nunca,Ocasionalmente no mês,Uma vez por semana,supermercado,carro,Não,,Sim,Sim,2,Não,Sim,Sim,Não,É difícil viver com o rendimento atual,12º ano (ensino secundário),Empregado(a),Sim,1,1,5,1,5,2,33,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,7767c9bb-26da-4e34-bbdc-7762489aa092,-8.232646652,37.133731751
651081,Homem,46,moita,38.653526523,-9.0014041,Todos os dias,Uma vez por semana,Uma vez por semana,Uma vez por semana,Uma vez por semana,,Uma vez por semana,,Uma vez por semana,Uma vez por semana,Uma vez por semana,Uma vez por semana,Ocasionalmente no mês,Uma vez por semana,mercado,a pé,Sim,,Não,Sim,3,Não,Não,Não,Não,O rendimento atual permite viver confortavelmente,12º ano (ensino secundário),Empregado(a),Não,4,2,3,4,5,3.25,34,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,440b2cf9-0513-4fd0-a599-e8bef9f43849,-9.0014041,38.653526523
651082,Mulher,77,monforte,39.047886491,-7.435388983,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,"Todos os dias, várias vezes",Uma vez por semana,,Algumas vezes por semana,,Algumas vezes por semana,"Todos os dias, várias vezes",Nunca,Nunca,Nunca,Algumas vezes por semana,supermercado,a pé,Sim,,Ns/Nr,Não mudou,1,Sim,Sim,Sim,Sim,É muito difícil viver com o rendimento atual,Instrução primária incompleta / analfabeto,Reformado(a),Sim,1,1,5,3,5,2.5,35,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,2782160d-e21c-48db-ab5c-88c3e6a26e34,-7.435388983,39.047886491
